time_s,cart_pos_m,cart_vel_mps,pendulum_angle_rad,pendulum_ang_vel_radps,cart_accel_mps2,pendulum_ang_accel_radps2,applied_force_N
0.000000,0.000000,0.000000,3.054326,0.000000,1.565839,-1.174804,1.997658
0.010000,0.000079,0.015846,3.054266,-0.012056,1.601959,-1.233788,2.034217
0.020000,0.000318,0.032010,3.054083,-0.024620,1.629280,-1.276125,2.062564
0.030000,0.000720,0.048401,3.053773,-0.037520,1.647254,-1.300835,2.082172
0.040000,0.001286,0.064922,3.053332,-0.050576,1.655419,-1.307111,2.092589
0.050000,0.002018,0.081475,3.052761,-0.063599,1.653401,-1.294323,2.093444
0.060000,0.002916,0.097955,3.052061,-0.076397,1.640921,-1.262030,2.084445
0.070000,0.003977,0.114258,3.051235,-0.088773,1.617793,-1.209982,2.065388
0.080000,0.005200,0.130276,3.050288,-0.100531,1.583929,-1.138125,2.036155
0.090000,0.006581,0.145901,3.049227,-0.111471,1.539343,-1.046605,1.996716
0.100000,0.008116,0.161027,3.048062,-0.121398,1.484147,-0.935765,1.947131
0.110000,0.009800,0.175549,3.046803,-0.130123,1.418550,-0.806148,1.887548
0.120000,0.011625,0.189364,3.045464,-0.137461,1.342863,-0.658486,1.818204
0.130000,0.013584,0.202374,3.044059,-0.143236,1.257487,-0.493705,1.739423
0.140000,0.015669,0.214483,3.042605,-0.147282,1.162921,-0.312907,1.651612
0.150000,0.017871,0.225604,3.041120,-0.149445,1.059748,-0.117369,1.555261
0.160000,0.020178,0.235652,3.039623,-0.149585,0.948635,0.091473,1.450935
0.170000,0.022580,0.244552,3.038135,-0.147576,0.830327,0.312035,1.339275
0.180000,0.025065,0.252237,3.036679,-0.143311,0.705642,0.542593,1.220991
0.190000,0.027620,0.258647,3.035277,-0.136697,0.575459,0.781307,1.096853
0.200000,0.030233,0.263731,3.033953,-0.127664,0.440718,1.026233,0.967691
0.210000,0.032890,0.267449,3.032732,-0.116159,0.302406,1.275335,0.834385
0.220000,0.035578,0.269771,3.031638,-0.102150,0.161552,1.526509,0.697859
0.230000,0.038281,0.270675,3.030697,-0.085629,0.019219,1.777593,0.559074
0.240000,0.040986,0.270154,3.029934,-0.066606,-0.123507,2.026392,0.419020
0.250000,0.043679,0.268208,3.029373,-0.045116,-0.265521,2.270691,0.278709
0.260000,0.046346,0.264849,3.029040,-0.021214,-0.405713,2.508269,0.139165
0.270000,0.048972,0.260103,3.028957,0.005020,-0.542968,2.736918,0.001421
0.280000,0.051543,0.254004,3.029147,0.033487,-0.676182,2.954460,-0.133495
0.290000,0.054047,0.246597,3.029634,0.064065,-0.804266,3.158760,-0.264566
0.300000,0.056471,0.237939,3.030435,0.096611,-0.926151,3.347740,-0.390792
0.310000,0.058802,0.228098,3.031572,0.130962,-1.040799,3.519391,-0.511199
0.320000,0.061029,0.217150,3.033060,0.166935,-1.147207,3.671790,-0.624850
0.330000,0.063142,0.205184,3.034915,0.204327,-1.244418,3.803109,-0.730846
0.340000,0.065130,0.192296,3.037151,0.242921,-1.331519,3.911632,-0.828338
0.350000,0.066985,0.178590,3.039777,0.282479,-1.407659,3.995762,-0.916534
0.360000,0.068700,0.164182,3.042802,0.322750,-1.472042,4.054034,-0.994700
0.370000,0.070267,0.149191,3.046233,0.363469,-1.523945,4.085132,-1.062173
0.380000,0.071682,0.133747,3.050072,0.404358,-1.562719,4.087899,-1.118358
0.390000,0.072941,0.117982,3.054320,0.445129,-1.587794,4.061347,-1.162742
0.400000,0.074041,0.102038,3.058974,0.485485,-1.598687,4.004674,-1.194891
0.410000,0.074981,0.086057,3.064027,0.525120,-1.595010,3.917277,-1.214454
0.420000,0.075762,0.070188,3.069473,0.563726,-1.576472,3.798763,-1.221171
0.430000,0.076386,0.054578,3.075297,0.600991,-1.542888,3.648964,-1.214869
0.440000,0.076855,0.039380,3.081487,0.636602,-1.494183,3.467945,-1.195467
0.450000,0.077175,0.024744,3.088023,0.670248,-1.430397,3.256020,-1.162974
0.460000,0.077353,0.010822,3.094884,0.701621,-1.351686,3.013757,-1.117492
0.470000,0.077395,-0.002240,3.102047,0.730423,-1.258329,2.741981,-1.059214
0.480000,0.077311,-0.014297,3.109483,0.756366,-1.150725,2.441785,-0.988420
0.490000,0.077113,-0.025209,3.117164,0.779170,-1.029397,2.114523,-0.905479
0.500000,0.076811,-0.034842,3.125055,0.798572,-0.894984,1.761809,-0.810842
0.510000,0.076420,-0.043067,3.133123,0.814327,-0.748243,1.385505,-0.705043
0.520000,0.075955,-0.049768,3.141329,0.826210,-0.590037,0.987707,-0.588689
0.530000,0.075431,-0.054833,3.149634,0.834017,-0.421332,0.570731,-0.462463
0.540000,0.074864,-0.058163,3.157995,0.837569,-0.243185,0.137086,-0.327110
0.550000,0.074273,-0.059669,3.166370,0.836712,-0.056731,-0.310549,-0.183437
0.560000,0.073677,-0.059274,3.174714,0.831320,0.136828,-0.769360,-0.032305
0.570000,0.073094,-0.056913,3.182981,0.821297,0.336242,-1.236432,0.125378
0.580000,0.072545,-0.052534,3.191125,0.806574,0.540220,-1.708777,0.288662
0.590000,0.072051,-0.046098,3.199097,0.787114,0.747452,-2.183371,0.456567
0.600000,0.071631,-0.037579,3.206851,0.762910,0.956622,-2.657193,0.628086
0.610000,0.071306,-0.026963,3.214339,0.733983,1.166426,-3.127260,0.802195
0.620000,0.071098,-0.014252,3.221515,0.700386,1.375577,-3.590651,0.977860
0.630000,0.071028,0.000542,3.228332,0.662201,1.582829,-4.044538,1.154047
0.640000,0.071116,0.017394,3.234744,0.619536,1.786976,-4.486207,1.329726
0.650000,0.071383,0.036267,3.240708,0.572527,1.986870,-4.913081,1.503883
0.660000,0.071848,0.057114,3.246181,0.521332,2.181423,-5.322737,1.675527
0.670000,0.072531,0.079875,3.251121,0.466137,2.369614,-5.712907,1.843694
0.680000,0.073451,0.104482,3.255491,0.407145,2.550491,-6.081487,2.007459
0.690000,0.074627,0.130857,3.259252,0.344585,2.723168,-6.426536,2.165940
0.700000,0.076074,0.158915,3.262371,0.278700,2.886835,-6.746277,2.318306
0.710000,0.077810,0.188561,3.264816,0.209750,3.040746,-7.039092,2.463782
0.720000,0.079850,0.219695,3.266557,0.138012,3.184223,-7.303510,2.601655
0.730000,0.082209,0.252209,3.267568,0.063778,3.316649,-7.538198,2.731282
