q_1,dq_1,q_2,dq_2,ddq_1,ddq_2,output_1,output_2
0.000000,0.000000,0.000000,0.000000,0.097384,-0.162307,0.194768,0.000000
0.000023,0.002463,-0.000038,-0.004101,0.149800,-0.249044,0.299787,0.000000
0.000106,0.006026,-0.000176,-0.010007,0.207286,-0.342597,0.415435,0.000000
0.000272,0.010784,-0.000451,-0.017840,0.269282,-0.441426,0.540778,0.000000
0.000546,0.016823,-0.000903,-0.027689,0.335239,-0.543965,0.674908,0.000000
0.000954,0.024217,-0.001573,-0.039613,0.404610,-0.648636,0.816935,0.000000
0.001524,0.033027,-0.002502,-0.053638,0.476846,-0.753839,0.965966,0.000000
0.002285,0.043306,-0.003732,-0.069759,0.551380,-0.857939,1.121075,0.000000
0.003266,0.055094,-0.005306,-0.087937,0.627613,-0.959258,1.281271,0.000000
0.004499,0.068417,-0.007263,-0.108099,0.704896,-1.056048,1.445458,0.000000
0.006013,0.083292,-0.009642,-0.130137,0.782512,-1.146479,1.612402,0.000000
0.007841,0.099715,-0.012480,-0.153903,0.859663,-1.228620,1.780690,0.000000
0.010012,0.117669,-0.015809,-0.179213,0.935454,-1.300434,1.948705,0.000000
0.012557,0.137117,-0.019657,-0.205837,1.008882,-1.359772,2.114602,0.000000
0.015506,0.158001,-0.024049,-0.233505,1.078841,-1.404383,2.276302,0.000000
0.018887,0.180240,-0.029002,-0.261899,1.144118,-1.431941,2.431489,0.000000
0.022724,0.203726,-0.034527,-0.290653,1.203408,-1.440072,2.577630,0.000000
0.027043,0.228327,-0.040628,-0.319357,1.255334,-1.426412,2.712007,0.000000
0.031864,0.253881,-0.047298,-0.347549,1.298474,-1.388663,2.831764,0.000000
0.037203,0.280198,-0.054523,-0.374728,1.331394,-1.324680,2.933968,0.000000
0.043075,0.307059,-0.062277,-0.400349,1.352697,-1.232553,3.015687,0.000000
0.049488,0.334219,-0.070523,-0.423832,1.361063,-1.110705,3.074072,0.000000
0.056444,0.361407,-0.079212,-0.444571,1.355307,-0.957999,3.106461,0.000000
0.063942,0.388331,-0.088283,-0.461942,1.334429,-0.773827,3.110472,0.000000
0.071974,0.414679,-0.097663,-0.475314,1.297667,-0.558218,3.084110,0.000000
0.080523,0.440128,-0.107265,-0.484066,1.244551,-0.311906,3.025869,0.000000
0.089571,0.464351,-0.116991,-0.487596,1.174937,-0.036401,2.934823,0.000000
0.099087,0.487017,-0.126730,-0.485343,1.089052,0.265970,2.810714,0.000000
0.109039,0.507808,-0.136363,-0.476799,0.987511,0.592054,2.654016,0.000000
0.119385,0.526420,-0.145758,-0.461529,0.871330,0.937888,2.465990,0.000000
0.130079,0.542573,-0.154777,-0.439183,0.741931,1.298737,2.248711,0.000000
0.141070,0.556021,-0.163276,-0.409515,0.601121,1.669174,2.005072,0.000000
0.152301,0.566556,-0.171108,-0.372392,0.451070,2.043173,1.738760,0.000000
0.163711,0.574019,-0.178122,-0.327808,0.294277,2.414216,1.454210,0.000000
0.175240,0.578301,-0.184171,-0.275889,0.133519,2.775432,1.156528,0.000000
0.186822,0.579353,-0.189110,-0.216903,-0.028201,3.119721,0.851383,0.000000
0.198393,0.577188,-0.192803,-0.151261,-0.187711,3.439883,0.544882,0.000000
0.209889,0.571881,-0.195120,-0.079516,-0.341739,3.728765,0.243423,0.000000
0.221248,0.563577,-0.195947,-0.002365,-0.486978,3.979373,-0.046479,0.000000
0.232413,0.552483,-0.195184,0.079359,-0.620159,4.185008,-0.318368,0.000000
0.243330,0.538872,-0.192749,0.164693,-0.738122,4.339387,-0.566039,0.000000
