m11,m12,m21,m22
2.500000,0.300000,0.300000,0.180000
2.500000,0.300000,0.300000,0.180000
2.500000,0.300000,0.300000,0.180000
2.500000,0.300000,0.300000,0.180000
2.500000,0.300000,0.300000,0.180000
2.500000,0.300000,0.300000,0.180000
2.500000,0.300000,0.300000,0.180000
2.500000,0.300000,0.300000,0.180000
2.500000,0.300000,0.300000,0.180000
2.500000,0.299999,0.299999,0.180000
2.500000,0.299998,0.299998,0.180000
2.500000,0.299995,0.299995,0.180000
2.500000,0.299991,0.299991,0.180000
2.500000,0.299985,0.299985,0.180000
2.500000,0.299976,0.299976,0.180000
2.500000,0.299963,0.299963,0.180000
2.500000,0.299945,0.299945,0.180000
2.500000,0.299923,0.299923,0.180000
2.500000,0.299894,0.299894,0.180000
2.500000,0.299860,0.299860,0.180000
2.500000,0.299820,0.299820,0.180000
2.500000,0.299774,0.299774,0.180000
2.500000,0.299723,0.299723,0.180000
2.500000,0.299668,0.299668,0.180000
2.500000,0.299610,0.299610,0.180000
2.500000,0.299550,0.299550,0.180000
2.500000,0.299492,0.299492,0.180000
2.500000,0.299437,0.299437,0.180000
2.500000,0.299387,0.299387,0.180000
2.500000,0.299345,0.299345,0.180000
2.500000,0.299312,0.299312,0.180000
2.500000,0.299292,0.299292,0.180000
2.500000,0.299284,0.299284,0.180000
2.500000,0.299291,0.299291,0.180000
2.500000,0.299313,0.299313,0.180000
2.500000,0.299350,0.299350,0.180000
2.500000,0.299399,0.299399,0.180000
2.500000,0.299461,0.299461,0.180000
2.500000,0.299532,0.299532,0.180000
2.500000,0.299610,0.299610,0.180000
2.500000,0.299690,0.299690,0.180000
2.500000,0.299769,0.299769,0.180000
2.500000,0.299842,0.299842,0.180000
2.500000,0.299905,0.299905,0.180000
2.500000,0.299955,0.299955,0.180000
2.500000,0.299987,0.299987,0.180000
2.500000,0.300000,0.300000,0.180000
2.500000,0.299991,0.299991,0.180000
2.500000,0.299959,0.299959,0.180000
2.500000,0.299904,0.299904,0.180000
2.500000,0.299829,0.299829,0.180000
2.500000,0.299735,0.299735,0.180000
2.500000,0.299627,0.299627,0.180000
2.500000,0.299510,0.299510,0.180000
2.500000,0.299389,0.299389,0.180000
2.500000,0.299269,0.299269,0.180000
2.500000,0.299158,0.299158,0.180000
2.500000,0.299061,0.299061,0.180000
2.500000,0.298984,0.298984,0.180000
2.500000,0.298930,0.298930,0.180000
2.500000,0.298904,0.298904,0.180000
2.500000,0.298907,0.298907,0.180000
2.500000,0.298940,0.298940,0.180000
2.500000,0.299001,0.299001,0.180000
2.500000,0.299088,0.299088,0.180000
2.500000,0.299195,0.299195,0.180000
2.500000,0.299318,0.299318,0.180000
2.500000,0.299449,0.299449,0.180000
2.500000,0.299580,0.299580,0.180000
2.500000,0.299704,0.299704,0.180000
2.500000,0.299814,0.299814,0.180000
2.500000,0.299903,0.299903,0.180000
2.500000,0.299965,0.299965,0.180000
2.500000,0.299996,0.299996,0.180000
2.500000,0.299995,0.299995,0.180000
2.500000,0.299962,0.299962,0.180000
2.500000,0.299898,0.299898,0.180000
2.500000,0.299807,0.299807,0.180000
2.500000,0.299696,0.299696,0.180000
2.500000,0.299571,0.299571,0.180000
2.500000,0.299442,0.299442,0.180000
2.500000,0.299316,0.299316,0.180000
2.500000,0.299202,0.299202,0.180000
2.500000,0.299108,0.299108,0.180000
2.500000,0.299040,0.299040,0.180000
2.500000,0.299003,0.299003,0.180000
2.500000,0.299001,0.299001,0.180000
2.500000,0.299032,0.299032,0.180000
2.500000,0.299096,0.299096,0.180000
2.500000,0.299189,0.299189,0.180000
2.500000,0.299303,0.299303,0.180000
2.500000,0.299432,0.299432,0.180000
2.500000,0.299567,0.299567,0.180000
2.500000,0.299697,0.299697,0.180000
2.500000,0.299813,0.299813,0.180000
2.500000,0.299907,0.299907,0.180000
2.500000,0.299971,0.299971,0.180000
2.500000,0.299999,0.299999,0.180000
2.500000,0.299988,0.299988,0.180000
2.500000,0.299938,0.299938,0.180000
