time_s,cart_pos_m,cart_vel_mps,pendulum_angle_wrapped_rad,pendulum_ang_vel_radps,cart_accel_mps2,pendulum_ang_accel_radps2,applied_force_N,mass_matrix_11,mass_matrix_12,mass_matrix_22
0.000000,0.000000,0.000000,2.967060,0.000000,-1.353809,-5.061217,-1.889225,2.500000,-0.295442,0.180000
0.020000,-0.000277,-0.028012,2.966037,-0.102866,-1.445795,-5.228241,-2.070678,2.500000,-0.295389,0.180000
0.040000,-0.001132,-0.057759,2.962922,-0.209228,-1.526849,-5.409990,-2.222297,2.500000,-0.295224,0.180000
0.060000,-0.002597,-0.088992,2.957643,-0.319337,-1.593907,-5.602344,-2.338014,2.500000,-0.294939,0.180000
0.080000,-0.004700,-0.121403,2.950122,-0.433368,-1.644194,-5.801695,-2.412506,2.500000,-0.294518,0.180000
0.100000,-0.007459,-0.154632,2.940281,-0.551431,-1.675299,-6.005039,-2.441359,2.500000,-0.293942,0.180000
0.120000,-0.010888,-0.188274,2.928038,-0.673581,-1.685224,-6.210049,-2.421214,2.500000,-0.293185,0.180000
0.140000,-0.014990,-0.221889,2.913310,-0.799833,-1.672425,-6.415143,-2.349880,2.500000,-0.292217,0.180000
0.160000,-0.019760,-0.255012,2.896017,-0.930181,-1.635834,-6.619518,-2.226416,2.500000,-0.290999,0.180000
0.180000,-0.025184,-0.287160,2.876076,-1.064609,-1.574870,-6.823173,-2.051177,2.500000,-0.289487,0.180000
0.200000,-0.031237,-0.317844,2.853405,-1.203109,-1.489418,-7.026901,-1.825827,2.500000,-0.287628,0.180000
0.220000,-0.037884,-0.346576,2.827924,-1.345696,-1.379800,-7.232256,-1.553312,2.500000,-0.285362,0.180000
0.240000,-0.045083,-0.372879,2.799550,-1.492425,-1.246719,-7.441485,-1.237796,2.500000,-0.282621,0.180000
0.260000,-0.052780,-0.396295,2.768199,-1.643400,-1.091180,-7.657429,-0.884565,2.500000,-0.279328,0.180000
0.280000,-0.060913,-0.416385,2.733785,-1.798788,-0.914395,-7.883391,-0.499894,2.500000,-0.275398,0.180000
0.300000,-0.069411,-0.432737,2.696216,-1.958826,-0.717668,-8.122969,-0.090893,2.500000,-0.270735,0.180000
0.320000,-0.078195,-0.444967,2.655399,-2.123823,-0.502265,-8.379875,0.334680,2.500000,-0.265235,0.180000
0.340000,-0.087180,-0.452711,2.611228,-2.294161,-0.269274,-8.657751,0.768617,2.500000,-0.258787,0.180000
0.360000,-0.096271,-0.455626,2.563593,-2.470295,-0.019468,-8.959987,1.202475,2.500000,-0.251267,0.180000
0.380000,-0.105370,-0.453380,2.512374,-2.652744,0.246823,-9.289602,1.627797,2.500000,-0.242546,0.180000
0.400000,-0.114370,-0.445642,2.457438,-2.842080,0.529820,-9.649190,2.036328,2.500000,-0.232486,0.180000
0.420000,-0.123157,-0.432070,2.398641,-3.038926,0.830368,-10.040959,2.420234,2.500000,-0.220942,0.180000
0.440000,-0.131611,-0.412300,2.335826,-3.243946,1.149969,-10.466895,2.772298,2.500000,-0.207768,0.180000
0.460000,-0.139605,-0.385931,2.268824,-3.457843,1.490756,-10.929055,3.086103,2.500000,-0.192812,0.180000
0.480000,-0.147002,-0.352511,2.197448,-3.681366,1.855416,-11.429954,3.356191,2.500000,-0.175931,0.180000
0.500000,-0.153655,-0.311534,2.121499,-3.915323,2.247042,-11.973019,3.578195,2.500000,-0.156986,0.180000
0.520000,-0.159409,-0.262427,2.040760,-4.160599,2.668929,-12.563019,3.748931,2.500000,-0.135856,0.180000
0.540000,-0.164094,-0.204554,1.954993,-4.418198,3.124285,-13.206365,3.866469,2.500000,-0.112444,0.180000
0.560000,-0.167528,-0.137215,1.863942,-4.689263,3.615816,-13.911092,3.930152,2.500000,-0.086690,0.180000
0.580000,-0.169514,-0.059669,1.767324,-4.975112,4.145146,-14.686263,3.940598,2.500000,-0.058580,0.180000
0.600000,-0.169842,0.028840,1.664829,-5.277239,4.711906,-15.540398,3.899646,2.500000,-0.028168,0.180000
0.620000,-0.168283,0.129033,1.556115,-5.597288,5.312293,-16.478216,3.810283,2.500000,0.004404,0.180000
0.640000,-0.164598,0.241495,1.440807,-5.936899,5.936667,-17.494610,3.676534,2.500000,0.038887,0.180000
0.660000,-0.158539,0.366530,1.318500,-6.297424,6.565669,-18.564015,3.503326,2.500000,0.074888,0.180000
0.680000,-0.149854,0.503927,1.188766,-6.679411,7.164176,-19.622723,3.296328,2.500000,0.111841,0.180000
0.700000,-0.138307,0.652502,1.051189,-7.081424,7.672000,-20.541114,3.061777,2.500000,0.148962,0.180000
0.720000,-0.123697,0.809569,0.905407,-7.498595,7.992742,-21.086232,2.806289,2.500000,0.185210,0.180000
0.740000,-0.105901,0.970027,0.751216,-7.919935,7.983701,-20.884271,2.536666,2.500000,0.219258,0.180000
0.760000,-0.084928,1.125489,0.588712,-8.325555,7.460790,-19.420353,2.259700,2.500000,0.249497,0.180000
0.780000,-0.060995,1.263798,0.418501,-8.684658,6.241655,-16.149492,1.981989,2.500000,0.274110,0.180000
0.800000,-0.034591,1.369935,0.241901,-8.957458,4.247410,-10.789535,1.709764,2.500000,0.291265,0.180000
0.820000,-0.006510,1.429475,0.061045,-9.104575,1.630741,-3.710297,1.448724,2.500000,0.299441,0.180000
0.840000,0.022217,1.433769,-0.121277,-9.101927,-1.191594,3.949418,1.203907,2.500000,0.297796,0.180000
0.860000,0.050478,1.383936,-0.302047,-8.952421,-3.701081,10.752945,0.979573,2.500000,0.286419,0.180000
0.880000,0.077282,1.290332,-0.478580,-8.684312,-5.529467,15.709873,0.779126,2.500000,0.266295,0.180000
0.900000,0.101900,1.167993,-0.648898,-8.337817,-6.579295,18.617206,0.605059,2.500000,0.239025,0.180000
0.920000,0.123909,1.031642,-0.811826,-7.950859,-6.959143,19.844503,0.458934,2.500000,0.206453,0.180000
0.940000,0.143150,0.892849,-0.966853,-7.551523,-6.855257,19.946145,0.341389,2.500000,0.170368,0.180000
0.960000,0.159660,0.759476,-1.113922,-7.157230,-6.443307,19.410465,0.252178,2.500000,0.132344,0.180000
0.980000,0.173598,0.636276,-1.253237,-6.777038,-5.855915,18.580011,0.190241,2.500000,0.093675,0.180000
1.000000,0.185196,0.525806,-1.385122,-6.414583,-5.182544,17.663551,0.153787,2.500000,0.055383,0.180000
1.020000,0.194722,0.429165,-1.509942,-6.070305,-4.479897,16.773825,0.140415,2.500000,0.018245,0.180000
1.040000,0.202456,0.346568,-1.628049,-5.743096,-3.782995,15.962434,0.147232,2.500000,-0.017166,0.180000
1.060000,0.208676,0.277664,-1.739768,-5.431184,-3.113282,15.244556,0.170999,2.500000,-0.050450,0.180000
1.080000,0.213650,0.221764,-1.845385,-5.132722,-2.484094,14.614865,0.208272,2.500000,-0.081345,0.180000
1.100000,0.217627,0.177972,-1.945155,-4.846105,-1.903920,14.057273,0.255550,2.500000,-0.109703,0.180000
1.120000,0.220842,0.145245,-2.039300,-4.570089,-1.378179,13.551003,0.309410,2.500000,-0.135466,0.180000
1.140000,0.223504,0.122459,-2.128024,-4.303869,-0.910177,13.074424,0.366644,2.500000,-0.158651,0.180000
1.160000,0.225799,0.108442,-2.211518,-4.047049,-0.501491,12.607589,0.424372,2.500000,-0.179332,0.180000
1.180000,0.227892,0.102004,-2.289968,-3.799611,-0.152148,12.133895,0.480143,2.500000,-0.197629,0.180000
1.200000,0.229922,0.101970,-2.363566,-3.561823,0.139304,11.641032,0.532005,2.500000,-0.213690,0.180000
1.220000,0.232006,0.107209,-2.432509,-3.334149,0.375694,11.121346,0.578568,2.500000,-0.227688,0.180000
1.240000,0.234238,0.116657,-2.497004,-3.117169,0.561038,10.571664,0.619018,2.500000,-0.239804,0.180000
1.260000,0.236693,0.129343,-2.557271,-2.911479,0.700303,9.992736,0.653129,2.500000,-0.250226,0.180000
1.280000,0.239428,0.144399,-2.613542,-2.717630,0.799100,9.388384,0.681229,2.500000,-0.259137,0.180000
1.300000,0.242480,0.161077,-2.666058,-2.536074,0.863375,8.764559,0.704156,2.500000,-0.266714,0.180000
1.320000,0.245877,0.178744,-2.715069,-2.367130,0.899117,8.128410,0.723179,2.500000,-0.273123,0.180000
