time_s,cart_pos_m,cart_vel_mps,pendulum_angle_rad,pendulum_ang_vel_radps,cart_accel_mps2,pendulum_ang_accel_radps2,applied_force_N,mass_matrix_11,mass_matrix_12,mass_matrix_22
0.000000,0.000000,0.000000,2.967060,0.000000,-1.323286,-5.011118,-1.827719,2.500000,-0.295442,0.180000
0.020000,-0.000269,-0.027057,2.966050,-0.101299,-1.381578,-5.122640,-1.941308,2.500000,-0.295390,0.180000
0.040000,-0.001090,-0.055226,2.962991,-0.205059,-1.434338,-5.257168,-2.036023,2.500000,-0.295228,0.180000
0.060000,-0.002484,-0.084389,2.957829,-0.311735,-1.480822,-5.414142,-2.110488,2.500000,-0.294949,0.180000
0.080000,-0.004471,-0.114412,2.950500,-0.421771,-1.520307,-5.593113,-2.163512,2.500000,-0.294539,0.180000
0.100000,-0.007066,-0.145150,2.940932,-0.535604,-1.552070,-5.793702,-2.194094,2.500000,-0.293981,0.180000
0.120000,-0.010281,-0.176439,2.929047,-0.653661,-1.575382,-6.015564,-2.201437,2.500000,-0.293249,0.180000
0.140000,-0.014126,-0.208104,2.914755,-0.776366,-1.589477,-6.258334,-2.184955,2.500000,-0.292315,0.180000
0.160000,-0.018606,-0.239951,2.897959,-0.904131,-1.593526,-6.521564,-2.144282,2.500000,-0.291140,0.180000
0.180000,-0.023723,-0.271771,2.878553,-1.037361,-1.586605,-6.804657,-2.079274,2.500000,-0.289681,0.180000
0.200000,-0.029475,-0.303335,2.856425,-1.176445,-1.567656,-7.106791,-1.990010,2.500000,-0.287884,0.180000
0.220000,-0.035854,-0.334389,2.831454,-1.321752,-1.535440,-7.426843,-1.876798,2.500000,-0.285687,0.180000
0.240000,-0.042846,-0.364655,2.803512,-1.473628,-1.488499,-7.763326,-1.740168,2.500000,-0.283018,0.180000
0.260000,-0.050432,-0.393820,2.772463,-1.632382,-1.425110,-8.114337,-1.580871,2.500000,-0.279793,0.180000
0.280000,-0.058589,-0.421536,2.738169,-1.798283,-1.343248,-8.477542,-1.399874,2.500000,-0.275917,0.180000
0.300000,-0.067282,-0.447411,2.700483,-1.971547,-1.240564,-8.850217,-1.198351,2.500000,-0.271283,0.180000
0.320000,-0.076470,-0.471002,2.659256,-2.152335,-1.114382,-9.229359,-0.977672,2.500000,-0.265774,0.180000
0.340000,-0.086103,-0.491810,2.614338,-2.340744,-0.961715,-9.611881,-0.739395,2.500000,-0.259258,0.180000
0.360000,-0.096120,-0.509272,2.565576,-2.536814,-0.779321,-9.994930,-0.485251,2.500000,-0.251592,0.180000
0.380000,-0.106448,-0.522762,2.512815,-2.740529,-0.563786,-10.376295,-0.217130,2.500000,-0.242624,0.180000
0.400000,-0.116999,-0.531580,2.455904,-2.951847,-0.311636,-10.754925,0.062936,2.500000,-0.232195,0.180000
0.420000,-0.127674,-0.534960,2.394691,-3.170714,-0.019478,-11.131500,0.352789,2.500000,-0.220139,0.180000
0.440000,-0.138356,-0.532071,2.329025,-3.397111,0.315857,-11.509009,0.650166,2.500000,-0.206291,0.180000
0.460000,-0.148910,-0.522019,2.258756,-3.631117,0.697193,-11.893267,0.952716,2.500000,-0.190489,0.180000
0.480000,-0.159183,-0.503861,2.183728,-3.872950,1.126888,-12.293291,1.258022,2.500000,-0.172580,0.180000
0.500000,-0.169003,-0.476609,2.103783,-4.123036,1.606763,-12.721468,1.563622,2.500000,-0.152432,0.180000
0.520000,-0.178180,-0.439247,2.018747,-4.382097,2.138070,-13.193452,1.867031,2.500000,-0.129936,0.180000
0.540000,-0.186499,-0.390740,1.928432,-4.651189,2.721409,-13.727726,2.165761,2.500000,-0.105018,0.180000
0.560000,-0.193728,-0.330045,1.832623,-4.931758,3.356567,-14.344718,2.457346,2.500000,-0.077654,0.180000
0.580000,-0.199613,-0.256140,1.731073,-5.225669,4.042144,-15.065294,2.739360,2.500000,-0.047877,0.180000
0.600000,-0.203879,-0.168046,1.623492,-5.535185,4.774717,-15.908151,3.009442,2.500000,-0.015801,0.180000
0.620000,-0.206234,-0.064883,1.509544,-5.862895,5.547249,-16.885287,3.265316,2.500000,0.018364,0.180000
0.640000,-0.206369,0.054021,1.388837,-6.211476,6.346118,-17.994031,3.504810,2.500000,0.054287,0.180000
