q_1,dq_1,ddq_1,output_1
0.000000,0.000000,9.106338,1.639141
0.001577,0.145270,5.374274,0.972011
0.005297,0.213592,1.435601,0.273998
0.009589,0.202301,-2.562058,-0.432949
0.012860,0.111717,-6.468731,-1.126526
0.013551,-0.054858,-10.137085,-1.784796
0.010200,-0.291243,-13.427337,-2.386904
0.001494,-0.588577,-16.211929,-2.913750
-0.013675,-0.935605,-18.379831,-3.348614
-0.036173,-1.319049,-19.840391,-3.677704
-0.066581,-1.724052,-20.526656,-3.890602
-0.105173,-2.134678,-20.398068,-3.980605
-0.151896,-2.534455,-19.442448,-3.944953
-0.206369,-2.906972,-17.677066,-3.784914
-0.267887,-3.236443,-15.148634,-3.505751
-0.335443,-3.508323,-11.931956,-3.116550
-0.407750,-3.709796,-8.127210,-2.629930
-0.483294,-3.830294,-3.855714,-2.061636
-0.560368,-3.861826,0.745395,-1.430028
-0.637139,-3.799257,5.529424,-0.755489
-0.711696,-3.640430,10.346471,-0.059765
-0.782119,-3.386159,15.049552,0.634739
-0.846530,-3.040136,19.499698,1.305680
-0.903155,-2.608707,23.569952,1.931500
-0.950367,-2.100622,27.147963,2.492123
-0.986740,-1.526715,30.137451,2.969593
-1.011081,-0.899579,32.458755,3.348659
-1.022462,-0.233245,34.048850,3.617255
-1.020250,0.457187,34.861233,3.766883
-1.004120,1.155819,34.865908,3.792884
-0.974071,1.846344,34.049798,3.694572
-0.930429,2.512371,32.417618,3.475249
-0.873847,3.137762,29.993272,3.142084
-0.805293,3.707109,26.821531,2.705874
-0.726032,4.206089,22.969768,2.180678
-0.637604,4.621968,18.529119,1.583357
-0.541779,4.944088,13.614478,0.933016
-0.440520,5.164297,8.362810,0.250381
-0.335922,5.277384,2.929184,-0.442877
-0.230153,5.281365,-2.519264,-1.124844
-0.125386,5.177657,-7.811263,-1.774073
-0.023733,4.971071,-12.780179,-2.370273
0.072824,4.669631,-17.272705,-2.894957
0.162492,4.284228,-21.156341,-3.332030
0.243721,3.828151,-24.324937,-3.668297
0.315247,3.316515,-26.701963,-3.893872
0.376120,2.765661,-28.241580,-4.002478
0.425725,2.192547,-28.927956,-3.991628
0.463787,1.614155,-28.773351,-3.862687
0.490366,1.046971,-27.815564,-3.620799
0.505844,0.506489,-26.115097,-3.274699
0.510898,0.006786,-23.752336,-2.836409
0.506470,-0.439836,-20.824760,-2.320827
0.493727,-0.823181,-17.444149,-1.745227
0.474017,-1.135401,-13.733646,-1.128682
0.448821,-1.371202,-9.824542,-0.491439
0.419697,-1.527964,-5.852675,0.145743
0.388229,-1.605801,-1.954459,0.762270
0.355973,-1.607520,1.737396,1.338374
0.324400,-1.538514,5.098274,1.855743
0.294852,-1.406548,8.015937,2.298101
0.268493,-1.221476,10.394444,2.651715
0.246271,-0.994878,12.157477,2.905816
0.228889,-0.739646,13.250918,3.052919
0.216784,-0.469512,13.644563,3.089032
0.210114,-0.198570,13.332944,3.013755
0.208754,0.059226,12.335247,2.830254
0.212306,0.290547,10.694399,2.545125
0.220117,0.483143,8.475329,2.168145
0.231302,0.626265,5.762520,1.711920
0.244778,0.711022,2.656905,1.191452
0.259308,0.730679,-0.727760,0.623622
0.273541,0.680867,-4.268906,0.026628
0.286066,0.559727,-7.839347,-0.580625
0.295459,0.367949,-11.311537,-1.179137
0.300334,0.108748,-14.561618,-1.750435
0.299397,-0.212257,-17.473242,-2.277165
0.291484,-0.587219,-19.940969,-2.743633
0.275613,-1.006323,-21.873336,-3.136302
0.251013,-1.458081,-23.195504,-3.444192
0.217157,-1.929699,-23.851641,-3.659213
0.173784,-2.407469,-23.806959,-3.776377
0.120912,-2.877222,-23.049450,-3.793924
0.058843,-3.324768,-21.591156,-3.713332
-0.011840,-3.736433,-19.468759,-3.539220
-0.090290,-4.099494,-16.743288,-3.279153
-0.175420,-4.402698,-13.498542,-2.943354
-0.265935,-4.636662,-9.838176,-2.544327
-0.360377,-4.794246,-5.881312,-2.096416
-0.457165,-4.870797,-1.756959,-1.615309
-0.554654,-4.864292,2.402358,-1.117504
-0.651186,-4.775335,6.467123,-0.619759
-0.745138,-4.607043,10.316854,-0.138536
-0.834974,-4.364808,13.845053,0.310525
-0.919286,-4.055979,16.962730,0.713109
-0.996829,-3.689504,19.600358,1.056670
-1.066549,-3.275498,21.708446,1.330811
-1.127605,-2.824900,23.256956,1.527582
-1.179377,-2.349036,24.234002,1.641704
-1.221474,-1.859315,24.644128,1.670686
-1.253732,-1.366927,24.506465,1.614858
-1.276204,-0.882505,23.852903,1.477305
-1.289151,-0.415960,22.726425,1.263712
-1.293022,0.023748,21.179542,0.982128
-1.288433,0.428816,19.272807,0.642649
-1.276143,0.792710,17.073413,0.257049
-1.257033,1.110286,14.653728,-0.161649
-1.232067,1.377897,12.089718,-0.599622
-1.202265,1.593433,9.459274,-1.042730
-1.168680,1.756347,6.840382,-1.476982
-1.132356,1.867636,4.309079,-1.889002
-1.094302,1.929775,1.937332,-2.266455
-1.055467,1.946634,-0.209113,-2.598434
-1.016705,1.923300,-2.072909,-2.875789
-0.978762,1.865914,-3.607038,-3.091389
-0.942249,1.781455,-4.776483,-3.240309
-0.907634,1.677438,-5.559505,-3.319941
-0.875230,1.561699,-5.948383,-3.330023
-0.845192,1.442094,-5.949628,-3.272587
-0.817522,1.326170,-5.583599,-3.151827
-0.792074,1.220973,-4.883588,-2.973906
-0.768569,1.132758,-3.894390,-2.746690
-0.746615,1.066767,-2.670408,-2.479435
-0.725723,1.027093,-1.273538,-2.182437
-0.705336,1.016533,0.229284,-1.866646
-0.684858,1.036510,1.768612,-1.543282
-0.663672,1.087056,3.274954,-1.223437
-0.641180,1.166840,4.681296,-0.917697
-0.616821,1.273227,5.925354,-0.635800
-0.590099,1.402399,6.951635,-0.386318
-0.560605,1.549525,7.713279,-0.176399
-0.528036,1.708921,8.173496,-0.011566
-0.492208,1.874280,8.306751,0.104432
-0.453070,2.038920,8.099538,0.169685
-0.410702,2.195984,7.550774,0.184137
-0.365326,2.338742,6.671779,0.149523
-0.317290,2.460807,5.485820,0.069251
-0.267070,2.556356,4.027222,-0.051778
-0.215247,2.620369,2.339994,-0.207392
-0.162493,2.648778,0.476109,-0.390416
-0.109553,2.638620,-1.506625,-0.592962
-0.057218,2.588129,-3.546903,-0.806742
-0.006301,2.496776,-5.582423,-1.023379
0.042386,2.365270,-7.552343,-1.234718
0.088055,2.195501,-9.399615,-1.433120
0.129970,1.990446,-11.073024,-1.611718
0.167464,1.754033,-12.528852,-1.764649
0.199954,1.490977,-13.732117,-1.887230
0.226960,1.206604,-14.657340,-1.976096
0.248114,0.906643,-15.288893,-2.029270
0.263162,0.597048,-15.620920,-2.046188
0.271971,0.283783,-15.656935,-2.027667
0.274528,-0.027336,-15.409129,-1.975819
0.270929,-0.330822,-14.897443,-1.893915
0.261379,-0.621651,-14.148482,-1.786217
0.246177,-0.895392,-13.194267,-1.657765
0.225703,-1.148294,-12.070926,-1.514149
0.200404,-1.377360,-10.817262,-1.361257
0.170782,-1.580383,-9.473333,-1.205028
0.137372,-1.755957,-8.078977,-1.051200
0.100731,-1.903461,-6.672402,-0.905082
0.061420,-2.023007,-5.288833,-0.771344
0.019992,-2.115375,-3.959292,-0.653840
-0.023022,-2.181913,-2.709569,-0.555471
-0.067124,-2.224423,-1.559413,-0.478092
-0.111853,-2.245042,-0.521999,-0.422458
-0.156795,-2.246099,0.396292,-0.388228
-0.201583,-2.229983,1.195789,-0.374007
-0.245896,-2.199016,1.883126,-0.377438
-0.289459,-2.155326,2.470545,-0.395333
-0.332036,-2.100748,2.974960,-0.423833
-0.373426,-2.036745,3.416809,-0.458604
-0.413450,-1.964343,3.818737,-0.495040
-0.451947,-1.884107,4.204281,-0.528491
-0.488763,-1.796127,4.596472,-0.554474
