time_s,cart_pos_m,cart_vel_mps,pendulum_angle_rad,pendulum_ang_vel_radps,cart_accel_mps2,pendulum_ang_accel_radps2,applied_force_N,applied_pendulum_torque_Nm
0.000000,0.000000,0.000000,3.141593,0.000000,-0.000000,0.000000,-0.000000,0.000000
0.005000,-0.000002,-0.001178,3.141596,0.001963,-0.471145,0.785189,-0.094232,0.000000
0.010000,-0.000016,-0.004711,3.141619,0.007850,-0.941729,1.569121,-0.188372,0.000000
0.015000,-0.000053,-0.010593,3.141681,0.017650,-1.411192,2.350543,-0.282325,0.000000
0.020000,-0.000126,-0.018820,3.141802,0.031349,-1.878972,3.128201,-0.376000,0.000000
0.025000,-0.000245,-0.029379,3.142001,0.048924,-2.344514,3.900849,-0.469303,0.000000
0.030000,-0.000423,-0.042260,3.142297,0.070347,-2.807261,4.667243,-0.562144,0.000000
0.035000,-0.000672,-0.057446,3.142711,0.095584,-3.266659,5.426148,-0.654430,0.000000
0.040000,-0.001001,-0.074920,3.143260,0.124594,-3.722159,6.176335,-0.746070,0.000000
0.045000,-0.001424,-0.094661,3.143963,0.157331,-4.173211,6.916580,-0.836973,0.000000
0.050000,-0.001952,-0.116644,3.144839,0.193741,-4.619271,7.645666,-0.927051,0.000000
0.055000,-0.002595,-0.140844,3.145906,0.233767,-5.059793,8.362381,-1.016214,0.000000
0.060000,-0.003364,-0.167232,3.147183,0.277342,-5.494235,9.065520,-1.104374,0.000000
0.065000,-0.004271,-0.195775,3.148686,0.324397,-5.922056,9.753878,-1.191444,0.000000
0.070000,-0.005325,-0.226440,3.150432,0.374854,-6.342713,10.426250,-1.277338,0.000000
0.075000,-0.006538,-0.259190,3.152440,0.428631,-6.755662,11.081431,-1.361971,0.000000
0.080000,-0.007921,-0.293983,3.154724,0.485638,-7.160357,11.718209,-1.445261,0.000000
0.085000,-0.009482,-0.330779,3.157301,0.545781,-7.556247,12.335367,-1.527124,0.000000
0.090000,-0.011232,-0.369530,3.160187,0.608957,-7.942777,12.931676,-1.607480,0.000000
0.095000,-0.013180,-0.410190,3.163396,0.675060,-8.319383,13.505892,-1.686250,0.000000
0.100000,-0.015337,-0.452706,3.166942,0.743977,-8.685494,14.056754,-1.763356,0.000000
0.105000,-0.017710,-0.497026,3.170840,0.815587,-9.040529,14.582980,-1.838721,0.000000
0.110000,-0.020310,-0.543092,3.175102,0.889764,-9.383894,15.083264,-1.912272,0.000000
0.115000,-0.023144,-0.590845,3.179742,0.966374,-9.714987,15.556280,-1.983936,0.000000
0.120000,-0.026221,-0.640221,3.184770,1.045279,-10.033191,16.000672,-2.053641,0.000000
0.125000,-0.029549,-0.691154,3.190198,1.126331,-10.337875,16.415059,-2.121320,0.000000
0.130000,-0.033135,-0.743576,3.196036,1.209377,-10.628397,16.798032,-2.186906,0.000000
0.135000,-0.036987,-0.797413,3.202295,1.294256,-10.904102,17.148162,-2.250333,0.000000
0.140000,-0.041111,-0.852591,3.208982,1.380802,-11.164326,17.463998,-2.311540,0.000000
0.145000,-0.045515,-0.909030,3.216105,1.468837,-11.408397,17.744079,-2.370465,0.000000
0.150000,-0.050204,-0.966647,3.223672,1.558180,-11.635635,17.986939,-2.427051,0.000000
0.155000,-0.055183,-1.025357,3.231689,1.648642,-11.845361,18.191113,-2.481242,0.000000
0.160000,-0.060459,-1.085071,3.240160,1.740025,-12.036902,18.355155,-2.532984,0.000000
0.165000,-0.066035,-1.145695,3.249090,1.832125,-12.209590,18.477650,-2.582226,0.000000
0.170000,-0.071917,-1.207134,3.258482,1.924730,-12.362778,18.557230,-2.628920,0.000000
0.175000,-0.078108,-1.269289,3.268338,2.017623,-12.495842,18.592599,-2.673020,0.000000
0.180000,-0.084611,-1.332057,3.278659,2.110579,-12.608192,18.582549,-2.714481,0.000000
0.185000,-0.091429,-1.395335,3.289444,2.203370,-12.699284,18.525988,-2.753264,0.000000
0.190000,-0.098565,-1.459014,3.300692,2.295760,-12.768624,18.421959,-2.789329,0.000000
0.195000,-0.106020,-1.522985,3.312400,2.387512,-12.815786,18.269669,-2.822642,0.000000
0.200000,-0.113795,-1.587136,3.324565,2.478380,-12.840421,18.068523,-2.853170,0.000000
0.205000,-0.121891,-1.651353,3.337182,2.568118,-12.842269,17.818142,-2.880881,0.000000
0.210000,-0.130309,-1.715520,3.350244,2.656477,-12.821166,17.518393,-2.905749,0.000000
0.215000,-0.139046,-1.779524,3.363744,2.743214,-12.777059,17.169409,-2.927750,0.000000
0.220000,-0.148103,-1.843250,3.377673,2.828085,-12.710014,16.771612,-2.946862,0.000000
0.225000,-0.157478,-1.906585,3.392022,2.910848,-12.620220,16.325731,-2.963065,0.000000
0.230000,-0.167168,-1.969416,3.406778,2.991266,-12.508004,15.832817,-2.976344,0.000000
0.235000,-0.177171,-2.031630,3.421930,3.069104,-12.373827,15.294249,-2.986686,0.000000
0.240000,-0.187484,-2.093121,3.437465,3.144141,-12.218286,14.711734,-2.994080,0.000000
0.245000,-0.198101,-2.153781,3.453367,3.216157,-12.042122,14.087315,-2.998520,0.000000
0.250000,-0.209020,-2.213509,3.469621,3.284948,-11.846207,13.423344,-3.000000,0.000000
0.255000,-0.220234,-2.272209,3.486210,3.350324,-11.631533,12.722461,-2.998520,0.000000
0.260000,-0.231740,-2.329792,3.503118,3.412110,-11.399211,11.987571,-2.994080,0.000000
0.265000,-0.243530,-2.386173,3.520325,3.470144,-11.150454,11.221819,-2.986686,0.000000
0.270000,-0.255600,-2.441272,3.537813,3.524282,-10.886568,10.428558,-2.976344,0.000000
0.275000,-0.267941,-2.495017,3.555561,3.574392,-10.608935,9.611310,-2.963065,0.000000
0.280000,-0.280547,-2.547341,3.573550,3.620362,-10.318989,8.773704,-2.946862,0.000000
0.285000,-0.293412,-2.598188,3.591758,3.662101,-10.018199,7.919443,-2.927750,0.000000
0.290000,-0.306527,-2.647507,3.610164,3.699535,-9.708053,7.052254,-2.905749,0.000000
0.295000,-0.319884,-2.695256,3.628746,3.732610,-9.390033,6.175835,-2.880881,0.000000
0.300000,-0.333477,-2.741398,3.647482,3.761287,-9.065597,5.293814,-2.853170,0.000000
0.305000,-0.347295,-2.785905,3.666351,3.785546,-8.736166,4.409706,-2.822642,0.000000
0.310000,-0.361333,-2.828754,3.685330,3.805385,-8.403102,3.526881,-2.789329,0.000000
0.315000,-0.375580,-2.869931,3.704398,3.820819,-8.067697,2.648532,-2.753264,0.000000
0.320000,-0.390029,-2.909428,3.723531,3.831880,-7.731159,1.777644,-2.714481,0.000000
0.325000,-0.404672,-2.947241,3.742709,3.838609,-7.394603,0.916968,-2.673020,0.000000
0.330000,-0.419499,-2.983373,3.761910,3.841067,-7.059039,0.069006,-2.628920,0.000000
0.335000,-0.434503,-3.017834,3.781113,3.839324,-6.725370,-0.763996,-2.582226,0.000000
0.340000,-0.449675,-3.050634,3.800297,3.833460,-6.394392,-1.580052,-2.532984,0.000000
0.345000,-0.465006,-3.081786,3.819441,3.823561,-6.066791,-2.377437,-2.481242,0.000000
0.350000,-0.480490,-3.111310,3.838526,3.809722,-5.743145,-3.154679,-2.427051,0.000000
0.355000,-0.496117,-3.139224,3.857532,3.792048,-5.423919,-3.910560,-2.370465,0.000000
0.360000,-0.511879,-3.165555,3.876440,3.770650,-5.109478,-4.644097,-2.311540,0.000000
0.365000,-0.527770,-3.190326,3.895232,3.745642,-4.800087,-5.354529,-2.250333,0.000000
0.370000,-0.543780,-3.213563,3.913891,3.717141,-4.495926,-6.041300,-2.186906,0.000000
0.375000,-0.559903,-3.235293,3.932398,3.685267,-4.197085,-6.704046,-2.121320,0.000000
0.380000,-0.576130,-3.255543,3.950738,3.650141,-3.903582,-7.342572,-2.053641,0.000000
0.385000,-0.592456,-3.274339,3.968894,3.611885,-3.615370,-7.956834,-1.983936,0.000000
0.390000,-0.608871,-3.291707,3.986852,3.570617,-3.332339,-8.546919,-1.912272,0.000000
0.395000,-0.625371,-3.307672,4.004596,3.526457,-3.054331,-9.113036,-1.838721,0.000000
0.400000,-0.641946,-3.322258,4.022112,3.479525,-2.781141,-9.655494,-1.763356,0.000000
0.405000,-0.658591,-3.335490,4.039386,3.429939,-2.512527,-10.174691,-1.686250,0.000000
0.410000,-0.675299,-3.347390,4.056407,3.377815,-2.248217,-10.671091,-1.607480,0.000000
0.415000,-0.692062,-3.357979,4.073160,3.323264,-1.987919,-11.145217,-1.527124,0.000000
0.420000,-0.708876,-3.367275,4.089636,3.266398,-1.731325,-11.597643,-1.445261,0.000000
0.425000,-0.725733,-3.375297,4.105821,3.207323,-1.478113,-12.028976,-1.361971,0.000000
0.430000,-0.742627,-3.382061,4.121705,3.146142,-1.227958,-12.439849,-1.277338,0.000000
0.435000,-0.759552,-3.387581,4.137279,3.082958,-0.980534,-12.830918,-1.191444,0.000000
0.440000,-0.776501,-3.391870,4.152532,3.017866,-0.735515,-13.202851,-1.104374,0.000000
0.445000,-0.793468,-3.394940,4.167455,2.950960,-0.492585,-13.556325,-1.016214,0.000000
0.450000,-0.810448,-3.396800,4.182038,2.882332,-0.251436,-13.892022,-0.927051,0.000000
0.455000,-0.827434,-3.397457,4.196275,2.812068,-0.011772,-14.210625,-0.836973,0.000000
0.460000,-0.844421,-3.396920,4.210156,2.740253,0.226688,-14.512812,-0.746070,0.000000
0.465000,-0.861402,-3.395193,4.223675,2.666967,0.464207,-14.799261,-0.654430,0.000000
0.470000,-0.878371,-3.392279,4.236824,2.592286,0.701031,-15.070641,-0.562144,0.000000
0.475000,-0.895322,-3.388183,4.249596,2.516284,0.937386,-15.327618,-0.469303,0.000000
0.480000,-0.912251,-3.382905,4.261985,2.439032,1.173478,-15.570850,-0.376000,0.000000
0.485000,-0.929150,-3.376447,4.273984,2.360597,1.409493,-15.800987,-0.282325,0.000000
0.490000,-0.946013,-3.368809,4.285589,2.281043,1.645594,-16.018675,-0.188372,0.000000
0.495000,-0.962836,-3.359990,4.296793,2.200430,1.881923,-16.224552,-0.094232,0.000000
0.500000,-0.979611,-3.349989,4.307591,2.118816,2.118599,-16.419251,0.000000,0.000000
0.505000,-0.996334,-3.338804,4.317979,2.036255,2.355721,-16.603401,0.094232,0.000000
0.510000,-1.012997,-3.326432,4.327952,1.952799,2.593367,-16.777625,0.188372,0.000000
0.515000,-1.029596,-3.312870,4.337506,1.868494,2.831593,-16.942544,0.282325,0.000000
0.520000,-1.046124,-3.298116,4.346636,1.783388,3.070437,-17.098774,0.376000,0.000000
0.525000,-1.062575,-3.282166,4.355338,1.697520,3.309915,-17.246928,0.469303,0.000000
0.530000,-1.078943,-3.265016,4.363610,1.610931,3.550029,-17.387618,0.562144,0.000000
0.535000,-1.095223,-3.246663,4.371447,1.523655,3.790760,-17.521455,0.654430,0.000000
0.540000,-1.111408,-3.227106,4.378846,1.435726,4.032076,-17.649045,0.746070,0.000000
0.545000,-1.127492,-3.206340,4.385803,1.347174,4.273927,-17.770997,0.836973,0.000000
0.550000,-1.143469,-3.184365,4.392317,1.258025,4.516254,-17.887915,0.927051,0.000000
0.555000,-1.159334,-3.161177,4.398383,1.168302,4.758980,-18.000403,1.016214,0.000000
0.560000,-1.175079,-3.136775,4.403998,1.078027,5.002021,-18.109063,1.104374,0.000000
0.565000,-1.190700,-3.111158,4.409162,0.987217,5.245282,-18.214494,1.191444,0.000000
0.570000,-1.206189,-3.084323,4.413870,0.895887,5.488659,-18.317295,1.277338,0.000000
0.575000,-1.221541,-3.056271,4.418120,0.804048,5.732043,-18.418061,1.361971,0.000000
0.580000,-1.236750,-3.027002,4.421909,0.711709,5.975319,-18.517381,1.445261,0.000000
0.585000,-1.251809,-2.996518,4.425236,0.618875,6.218366,-18.615842,1.527124,0.000000
0.590000,-1.266713,-2.964819,4.428097,0.525550,6.461065,-18.714028,1.607480,0.000000
0.595000,-1.281455,-2.931908,4.430491,0.431734,6.703292,-18.812515,1.686250,0.000000
0.600000,-1.296030,-2.897787,4.432414,0.337423,6.944926,-18.911874,1.763356,0.000000
0.605000,-1.310431,-2.862460,4.433864,0.242612,7.185848,-19.012670,1.838721,0.000000
0.610000,-1.324652,-2.825930,4.434839,0.147293,7.425939,-19.115458,1.912272,0.000000
