t,q_1,dq_1,q2,dq2,ddq1,ddq2,output_1,output_2,mass_matrix_11,mass_matrix_12,mass_matrix_22
0.000000,0.000000,0.000000,2.967060,0.000000,-1.724294,-5.669312,-2.635781,0.000000,2.500000,-0.295442,0.180000
0.020000,-0.000337,-0.033284,2.965938,-0.111531,-1.600939,-5.484377,-2.383003,0.000000,2.500000,-0.295384,0.180000
0.040000,-0.001314,-0.063918,2.962623,-0.219409,-1.459700,-5.304535,-2.085878,0.000000,2.500000,-0.295208,0.180000
0.060000,-0.002874,-0.091569,2.957185,-0.323767,-1.303073,-5.132966,-1.749668,0.000000,2.500000,-0.294914,0.180000
0.080000,-0.004955,-0.115957,2.949694,-0.424808,-1.133897,-4.973455,-1.380419,0.000000,2.500000,-0.294493,0.180000
0.100000,-0.007489,-0.136862,2.940213,-0.522814,-0.955298,-4.830331,-0.984831,0.000000,2.500000,-0.293937,0.180000
0.120000,-0.010405,-0.154129,2.928799,-0.618162,-0.770626,-4.708379,-0.570122,0.000000,2.500000,-0.293233,0.180000
0.140000,-0.013629,-0.167670,2.915501,-0.711325,-0.583382,-4.612737,-0.143880,0.000000,2.500000,-0.292365,0.180000
0.160000,-0.017087,-0.177471,2.900357,-0.802883,-0.397129,-4.548771,0.286094,0.000000,2.500000,-0.291313,0.180000
0.180000,-0.020703,-0.183586,2.883392,-0.893523,-0.215401,-4.521927,0.711948,0.000000,2.500000,-0.290055,0.180000
0.200000,-0.024406,-0.186140,2.864617,-0.984043,-0.041608,-4.537573,1.125933,0.000000,2.500000,-0.288566,0.180000
0.220000,-0.028127,-0.185324,2.844025,-1.075344,0.121078,-4.600816,1.520569,0.000000,2.500000,-0.286816,0.180000
0.240000,-0.031799,-0.181390,2.821592,-1.168424,0.269824,-4.716304,1.888788,0.000000,2.500000,-0.284771,0.180000
0.260000,-0.035363,-0.174640,2.797269,-1.264371,0.402254,-4.888032,2.224081,0.000000,2.500000,-0.282391,0.180000
0.280000,-0.038768,-0.165420,2.770990,-1.364341,0.516563,-5.119112,2.520629,0.000000,2.500000,-0.279633,0.180000
0.300000,-0.041966,-0.154106,2.742661,-1.469545,0.611632,-5.411561,2.773414,0.000000,2.500000,-0.276443,0.180000
0.320000,-0.044921,-0.141086,2.712165,-1.581218,0.687139,-5.766082,2.978318,0.000000,2.500000,-0.272761,0.180000
0.340000,-0.047601,-0.126747,2.679361,-1.700596,0.743670,-6.181852,3.132205,0.000000,2.500000,-0.268518,0.180000
0.360000,-0.049984,-0.111455,2.644082,-1.828884,0.782815,-6.656343,3.232979,0.000000,2.500000,-0.263632,0.180000
0.380000,-0.052055,-0.095533,2.606138,-1.967214,0.807251,-7.185183,3.279615,0.000000,2.500000,-0.258011,0.180000
0.400000,-0.053803,-0.079238,2.565319,-2.116612,0.820793,-7.762107,3.272181,0.000000,2.500000,-0.251550,0.180000
0.420000,-0.055223,-0.062741,2.521394,-2.277965,0.828415,-8.379012,3.211826,0.000000,2.500000,-0.244129,0.180000
0.440000,-0.056312,-0.046101,2.474116,-2.451975,0.836206,-9.026174,3.100751,0.000000,2.500000,-0.235616,0.180000
0.460000,-0.057066,-0.029244,2.423227,-2.639141,0.851260,-9.692668,2.942155,0.000000,2.500000,-0.225865,0.180000
0.480000,-0.057479,-0.011949,2.368461,-2.839734,0.881489,-10.367006,2.740166,0.000000,2.500000,-0.214718,0.180000
0.500000,-0.057538,0.006173,2.309548,-3.053798,0.935333,-11.038012,2.499747,0.000000,2.500000,-0.202010,0.180000
0.520000,-0.057222,0.025679,2.246220,-3.281166,1.021400,-11.695879,2.226594,0.000000,2.500000,-0.187568,0.180000
0.540000,-0.056497,0.047299,2.178215,-3.521497,1.148019,-12.333326,1.927008,0.000000,2.500000,-0.171225,0.180000
