time_s,cart_pos_m,cart_vel_mps,pendulum_angle_wrapped_rad,pendulum_ang_vel_radps,cart_accel_mps2,pendulum_ang_accel_radps2,applied_force_N,mass_matrix_11,mass_matrix_12,mass_matrix_22
0.000000,0.000000,0.000000,2.967060,0.000000,0.475048,-2.059429,1.796063,2.500000,-0.295442,0.180000
0.020000,0.000088,0.008411,2.966636,-0.043024,0.362355,-2.251266,1.570861,2.500000,-0.295420,0.180000
0.040000,0.000320,0.014354,2.965310,-0.090377,0.228709,-2.492043,1.307370,2.500000,-0.295351,0.180000
0.060000,0.000643,0.017435,2.962986,-0.143015,0.076466,-2.779309,1.010603,2.500000,-0.295228,0.180000
0.080000,0.000996,0.017307,2.959548,-0.201840,-0.091635,-3.110218,0.686347,2.500000,-0.295043,0.180000
0.100000,0.001312,0.013684,2.954865,-0.267694,-0.272514,-3.481580,0.341042,2.500000,-0.294785,0.180000
0.120000,0.001519,0.006344,2.948788,-0.341350,-0.462803,-3.889903,-0.018357,2.500000,-0.294441,0.180000
0.140000,0.001540,-0.004866,2.941154,-0.423511,-0.658891,-4.331433,-0.384526,2.500000,-0.293994,0.180000
0.160000,0.001298,-0.020025,2.931787,-0.514802,-0.856977,-4.802187,-0.749936,2.500000,-0.293421,0.180000
0.180000,0.000713,-0.039133,2.920498,-0.615766,-1.053107,-5.297975,-1.107008,2.500000,-0.292697,0.180000
0.200000,-0.000294,-0.062109,2.907089,-0.726859,-1.243214,-5.814407,-1.448285,2.500000,-0.291789,0.180000
0.220000,-0.001797,-0.088793,2.891353,-0.848449,-1.423148,-6.346881,-1.766591,2.500000,-0.290656,0.180000
0.240000,-0.003868,-0.118939,2.873079,-0.980809,-1.588688,-6.890567,-2.055189,2.500000,-0.289250,0.180000
0.260000,-0.006575,-0.152216,2.852048,-1.124113,-1.735557,-7.440371,-2.307931,2.500000,-0.287512,0.180000
0.280000,-0.009975,-0.188208,2.828041,-1.278429,-1.859421,-7.990918,-2.519391,2.500000,-0.285373,0.180000
0.300000,-0.014118,-0.226411,2.800838,-1.443717,-1.955891,-8.536537,-2.684989,2.500000,-0.282751,0.180000
0.320000,-0.019042,-0.266232,2.770220,-1.619818,-2.020527,-9.071308,-2.801092,2.500000,-0.279549,0.180000
0.340000,-0.024774,-0.306990,2.735975,-1.806456,-2.048853,-9.589169,-2.865099,2.500000,-0.275658,0.180000
0.360000,-0.031323,-0.347914,2.697894,-2.003232,-2.036398,-10.084128,-2.875496,2.500000,-0.270951,0.180000
0.380000,-0.038686,-0.388144,2.655781,-2.209632,-1.978773,-10.550610,-2.831898,2.500000,-0.265289,0.180000
0.400000,-0.046838,-0.426735,2.609449,-2.425035,-1.871779,-10.983945,-2.735059,2.500000,-0.258516,0.180000
0.420000,-0.055737,-0.462661,2.558724,-2.648747,-1.711563,-11.380985,-2.586859,2.500000,-0.250466,0.180000
0.440000,-0.065319,-0.494821,2.503449,-2.880027,-1.494806,-11.740842,-2.390266,2.500000,-0.240961,0.180000
0.460000,-0.075497,-0.522058,2.443478,-3.118145,-1.218912,-12.065623,-2.149276,2.500000,-0.229817,0.180000
0.480000,-0.086161,-0.543172,2.378682,-3.362456,-0.882183,-12.361095,-1.868830,2.500000,-0.216848,0.180000
0.500000,-0.097175,-0.556936,2.308942,-3.612461,-0.483946,-12.637147,-1.554707,2.500000,-0.201875,0.180000
0.520000,-0.108381,-0.562121,2.234147,-3.867903,-0.024581,-12.907937,-1.213399,2.500000,-0.184728,0.180000
0.540000,-0.119595,-0.557520,2.154189,-4.128862,0.494540,-13.191653,-0.851977,2.500000,-0.165258,0.180000
0.560000,-0.130609,-0.541957,2.068953,-4.395801,1.071170,-13.509883,-0.477934,2.500000,-0.143342,0.180000
0.580000,-0.141192,-0.514309,1.978311,-4.669648,1.702341,-13.886597,-0.099024,2.500000,-0.118899,0.180000
0.600000,-0.151094,-0.473523,1.882111,-4.951821,2.384437,-14.346783,0.276904,2.500000,-0.091893,0.180000
0.620000,-0.160039,-0.418623,1.780170,-5.244234,3.113005,-14.914557,0.642082,2.500000,-0.062354,0.180000
0.640000,-0.167738,-0.348731,1.672258,-5.549263,3.882168,-15.610555,0.988984,2.500000,-0.030386,0.180000
0.660000,-0.173884,-0.263122,1.558097,-5.869603,4.683200,-16.447800,1.310499,2.500000,0.003810,0.180000
